"","x"
"1",0.916758799838187
"2",0.918229412774881
"3",0.918859402226841
"4",0.920565914734406
"5",0.923127868571314
"6",0.917257890635097
"7",0.91629001233248
"8",0.92017444890007
"9",0.920208801766685
"10",0.915165504249083
"11",0.917628240897855
"12",0.917929515671377
"13",0.916190858163969
"14",0.919922708104242
"15",0.920005802547371
"16",0.914409405638224
"17",0.918948489282959
"18",0.917000180426414
"19",0.912286655708895
"20",0.914052505726086
"21",0.916911230752324
"22",0.917157582921881
"23",0.921195237975896
"24",0.914509472854518
"25",0.915791124574878
"26",0.917374349577944
"27",0.922039661712648
"28",0.917290627328475
"29",0.919194376159857
"30",0.918284834094339
"31",0.916917513823338
"32",0.917178770830111
"33",0.91871232031006
"34",0.918699638533215
"35",0.923335935700591
"36",0.918632993899039
"37",0.919685594906749
"38",0.917675684232201
"39",0.914727430740938
"40",0.913079627250477
"41",0.916874842815933
"42",0.920902461317787
"43",0.915400182354625
"44",0.920524138391054
"45",0.917936062139272
"46",0.917461861677281
"47",0.921846399666846
"48",0.918426430412955
"49",0.919137831864799
"50",0.914284382009112
"51",0.920310808497569
"52",0.919733005793995
"53",0.919702761989557
"54",0.914903042488312
"55",0.919921377070226
"56",0.923258403086847
"57",0.915469386319387
"58",0.916951029767337
"59",0.917258040767749
"60",0.918085090795074
"61",0.91782384733866
"62",0.91495472957451
"63",0.916725468020041
"64",0.915871978579297
"65",0.916832421507682
"66",0.920001672224245
"67",0.918550924042509
"68",0.920145728239892
"69",0.918788556851052
"70",0.918692640022033
"71",0.917116623665941
"72",0.917190794321229
"73",0.916280321726692
"74",0.916142171817807
"75",0.916534342153025
"76",0.919620401202746
"77",0.915840035639575
"78",0.922662392085046
"79",0.916226657132314
"80",0.914222287420046
"81",0.913721244531896
"82",0.915597790276377
"83",0.916320981780376
"84",0.919401178976684
"85",0.919132135107297
"86",0.918031608179064
"87",0.914437847905818
"88",0.916684699889364
"89",0.919079705045832
"90",0.917293249886787
"91",0.91764583819071
"92",0.917671674243834
"93",0.918765405394853
"94",0.920184371605936
"95",0.918660702587737
"96",0.914005332472225
"97",0.91992429943489
"98",0.921787117318927
"99",0.91876118709765
"100",0.920558225401858
"101",0.916933190629056
"102",0.91635422091815
"103",0.919038838896216
"104",0.917342732766361
"105",0.918358733158256
"106",0.917020576744742
"107",0.916698777515053
"108",0.914472685463222
"109",0.918748048303128
"110",0.912919563148417
"111",0.920554344308895
"112",0.918425290783262
"113",0.917598031240303
"114",0.914574363596649
"115",0.918455173027017
"116",0.914526592013856
"117",0.916448467153554
"118",0.915366769921447
"119",0.919032690356374
"120",0.917779695213467
"121",0.916830951596225
"122",0.921849736293497
"123",0.914033152044383
"124",0.918524030611469
"125",0.919011157966679
"126",0.919198727631965
"127",0.91774344217798
"128",0.919361793443164
"129",0.920974369891529
"130",0.920228129416519
